iter	Passed	Remaining
0	34	31717
1	67	30761
2	98	29935
3	129	29568
4	165	30144
5	197	30080
6	227	29559
7	257	29278
8	292	29532
9	326	29622
10	357	29494
11	389	29393
12	419	29211
13	449	29015
14	479	28848
15	512	28870
16	547	29000
17	577	28850
18	607	28727
19	636	28568
20	665	28428
21	695	28336
22	729	28405
23	769	28679
24	800	28582
25	829	28466
26	858	28336
27	888	28251
28	917	28122
29	950	28122
30	982	28119
31	1010	27969
32	1037	27836
33	1066	27736
34	1096	27663
35	1125	27575
36	1156	27535
37	1188	27533
38	1218	27461
39	1247	27380
40	1275	27287
41	1304	27201
42	1333	27128
43	1365	27131
44	1398	27134
45	1428	27078
46	1457	27007
47	1486	26938
48	1514	26858
49	1541	26765
50	1574	26760
51	1606	26753
52	1635	26687
53	1664	26631
54	1693	26576
55	1723	26526
56	1751	26452
57	1783	26441
58	1818	26476
59	1846	26411
60	1874	26332
61	1901	26257
62	1930	26200
63	1960	26157
64	1997	26218
65	2031	26227
66	2063	26203
67	2094	26186
68	2125	26153
69	2161	26188
70	2201	26257
71	2243	26356
72	2276	26356
73	2313	26381
74	2347	26390
75	2375	26323
76	2405	26269
77	2440	26284
78	2473	26265
79	2504	26236
80	2534	26191
81	2564	26145
82	2594	26100
83	2623	26048
84	2658	26048
85	2693	26055
86	2722	26003
87	2754	25984
88	2785	25944
89	2815	25900
90	2847	25873
91	2880	25859
92	2918	25885
93	2947	25838
94	2976	25786
95	3006	25743
96	3036	25699
97	3065	25651
98	3183	26336
99	3226	26393
100	3260	26378
101	3292	26337
102	3322	26293
103	3351	26231
104	3379	26170
105	3406	26091
106	3431	26008
107	3459	25943
108	3486	25879
109	3517	25834
110	3547	25789
111	3583	25786
112	3612	25737
113	3640	25674
114	3670	25630
115	3698	25569
116	3725	25506
117	3757	25477
118	3790	25450
119	3895	25903
120	3922	25838
121	3954	25800
122	3992	25803
123	4021	25752
124	4050	25698
125	4079	25642
126	4105	25573
127	4131	25499
128	4158	25435
129	4192	25411
130	4226	25391
131	4258	25354
132	4288	25311
133	4321	25282
134	4354	25257
135	4393	25262
136	4431	25263
137	4466	25246
138	4507	25264
139	4547	25269
140	4581	25248
141	4614	25219
142	4661	25262
143	4703	25283
144	4740	25270
145	4774	25243
146	4805	25201
147	4835	25159
148	4879	25183
149	4914	25160
150	4946	25127
151	4977	25086
152	5008	25044
153	5041	25012
154	5078	24999
155	5112	24972
156	5142	24926
157	5172	24881
158	5202	24832
159	5229	24775
160	5258	24725
161	5290	24688
162	5322	24654
163	5351	24605
164	5382	24561
165	5410	24508
166	5437	24451
167	5462	24387
168	5494	24350
169	5528	24324
170	5556	24274
171	5585	24226
172	5617	24189
173	5647	24147
174	5676	24102
175	5711	24077
176	5749	24071
177	5784	24046
178	5814	24003
179	5843	23956
180	5873	23915
181	5902	23870
182	5938	23851
183	5971	23821
184	6001	23778
185	6029	23730
186	6059	23687
187	6088	23640
188	6116	23594
189	6150	23567
190	6184	23538
191	6213	23495
192	6242	23450
193	6272	23407
194	6301	23362
195	6330	23320
196	6362	23286
197	6397	23262
198	6424	23213
199	6452	23165
200	6483	23125
201	6512	23082
202	6541	23041
203	6580	23032
204	6613	23002
205	6646	22970
206	6675	22928
207	6703	22883
208	6731	22834
209	6758	22784
210	6796	22772
211	6830	22746
212	6857	22698
213	6885	22650
214	6914	22608
215	6944	22568
216	6973	22528
217	7007	22499
218	7040	22471
219	7070	22433
220	7099	22389
221	7126	22343
222	7155	22299
223	7184	22259
224	7216	22226
225	7250	22199
226	7279	22159
227	7310	22124
228	7342	22091
229	7375	22061
230	7408	22033
231	7443	22010
232	7478	21987
233	7511	21955
234	7540	21915
235	7571	21881
236	7601	21841
237	7632	21806
238	7671	21794
239	7707	21772
240	7737	21735
241	7769	21703
242	7799	21665
243	7829	21628
244	7858	21586
245	7895	21567
246	7928	21539
247	7955	21493
248	7986	21457
249	8014	21415
250	8042	21373
251	8075	21341
252	8108	21311
253	8141	21283
254	8171	21245
255	8200	21204
256	8229	21165
257	8255	21118
258	8283	21075
259	8316	21046
260	8352	21025
261	8381	20985
262	8409	20943
263	8438	20903
264	8465	20859
265	8493	20819
266	8525	20787
267	8558	20757
268	8587	20718
269	8614	20675
270	8645	20639
271	8673	20600
272	8702	20561
273	8736	20534
274	8770	20507
275	8802	20474
276	8833	20441
277	8867	20415
278	8896	20376
279	8925	20337
280	8962	20316
281	8997	20293
282	9027	20255
283	9055	20215
284	9084	20176
285	9113	20137
286	9141	20099
287	9177	20075
288	9210	20045
289	9239	20007
290	9268	19970
291	9297	19933
292	9327	19896
293	9353	19853
294	9384	19819
295	9418	19791
296	9448	19755
297	9482	19729
298	9510	19689
299	9538	19649
300	9569	19615
301	9602	19586
302	9638	19562
303	9667	19525
304	9697	19489
305	9724	19449
306	9751	19408
307	9779	19368
308	9811	19337
309	9845	19309
310	9874	19273
311	9903	19236
312	9933	19199
313	9963	19166
314	9995	19133
315	10027	19102
316	10064	19080
317	10093	19044
318	10121	19006
319	10150	18968
320	10178	18929
321	10204	18888
322	10237	18858
323	10270	18828
324	10299	18792
325	10329	18757
326	10358	18721
327	10385	18681
328	10410	18638
329	10442	18607
330	10475	18578
331	10505	18543
332	10534	18506
333	10564	18472
334	10594	18438
335	10623	18401
336	10655	18369
337	10688	18341
338	10717	18304
339	10744	18265
340	10771	18226
341	10801	18191
342	10830	18155
343	10862	18125
344	10897	18098
345	10932	18074
346	10962	18038
347	10991	18003
348	11020	17967
349	11046	17927
350	11076	17892
351	11113	17869
352	11144	17837
353	11173	17801
354	11200	17763
355	11229	17728
356	11258	17691
357	11287	17656
358	11318	17624
359	11352	17596
360	11380	17558
361	11407	17520
362	11436	17485
363	11472	17460
364	11503	17429
365	11539	17404
366	11570	17371
367	11600	17337
368	11635	17311
369	11666	17278
370	11695	17244
371	11726	17210
372	11758	17180
373	11789	17148
374	11819	17114
375	11847	17078
376	11873	17039
377	11901	17002
378	11929	16965
379	11962	16935
380	11995	16907
381	12025	16874
382	12054	16838
383	12085	16807
384	12116	16774
385	12144	16738
386	12177	16709
387	12210	16679
388	12243	16649
389	12273	16616
390	12301	16579
391	12329	16544
392	12376	16534
393	12412	16507
394	12440	16471
395	12467	16433
396	12496	16399
397	12524	16364
398	12553	16329
399	12581	16292
400	12609	16257
401	12646	16232
402	12679	16202
403	12706	16166
404	12734	16129
405	12764	16097
406	12792	16061
407	12823	16028
408	12859	16004
409	12892	15974
410	12921	15939
411	12951	15906
412	12982	15874
413	13011	15839
414	13039	15803
415	13070	15772
416	13103	15742
417	13134	15710
418	13164	15677
419	13195	15646
420	13225	15612
421	13254	15578
422	13287	15549
423	13320	15519
424	13349	15485
425	13379	15452
426	13408	15417
427	13432	15378
428	13460	15343
429	13494	15314
430	13526	15283
431	13558	15253
432	13591	15224
433	13628	15199
434	13665	15173
435	13700	15146
436	13732	15115
437	13763	15083
438	13792	15049
439	13822	15016
440	13852	14983
441	13881	14949
442	13915	14920
443	13957	14900
444	13987	14867
445	14019	14836
446	14049	14803
447	14077	14769
448	14109	14737
449	14144	14710
450	14175	14677
451	14203	14643
452	14230	14607
453	14257	14571
454	14287	14538
455	14315	14503
456	14346	14472
457	14383	14445
458	14413	14413
459	14444	14381
460	14474	14349
461	14503	14315
462	14529	14278
463	14560	14247
464	14593	14216
465	14623	14183
466	14652	14150
467	14682	14117
468	14710	14083
469	14738	14048
470	14769	14017
471	14804	13989
472	14834	13956
473	14864	13923
474	14892	13889
475	14920	13854
476	14953	13824
477	14987	13796
478	15021	13766
479	15051	13734
480	15080	13701
481	15108	13666
482	15138	13633
483	15167	13600
484	15198	13569
485	15232	13539
486	15259	13504
487	15301	13483
488	15327	13446
489	15354	13411
490	15384	13378
491	15416	13348
492	15448	13317
493	15478	13285
494	15507	13251
495	15536	13218
496	15566	13186
497	15600	13156
498	15638	13131
499	15671	13101
500	15701	13068
501	15728	13033
502	15755	12998
503	15783	12964
504	15812	12931
505	15846	12902
506	15879	12872
507	15909	12840
508	15938	12807
509	15968	12775
510	15996	12740
511	16021	12704
512	16053	12674
513	16089	12646
514	16117	12612
515	16148	12580
516	16176	12546
517	16205	12514
518	16234	12480
519	16267	12450
520	16300	12420
521	16329	12387
