RF,CatBoost,XGBoost,Voting
0.8925,0.9075,0.8975,0.8975
0.8775,0.8925,0.875,0.8875
0.86,0.8625,0.84,0.86
0.9275,0.9325,0.93,0.9275
0.8725,0.875,0.8775,0.87
0.8675,0.875,0.86,0.8675
0.895,0.905,0.9,0.9025
0.89,0.885,0.8775,0.8875
0.845,0.8725,0.8575,0.8625
0.865,0.89,0.875,0.8725
0.8475,0.855,0.8575,0.8525
0.8775,0.865,0.8575,0.8625
0.865,0.88,0.8575,0.875
0.885,0.8825,0.875,0.8825
0.9075,0.9125,0.885,0.9
0.87,0.8725,0.8675,0.8675
0.8775,0.87,0.885,0.8925
0.8825,0.885,0.8725,0.8825
0.88,0.8925,0.885,0.885
0.9125,0.925,0.905,0.9125
0.925,0.93,0.92,0.9325
0.8775,0.8825,0.8725,0.875
0.87,0.875,0.8625,0.87
0.905,0.915,0.895,0.9025
0.885,0.8875,0.8825,0.8975
0.8975,0.895,0.8975,0.8925
0.8625,0.8775,0.8725,0.875
0.8775,0.8875,0.88,0.8825
0.8825,0.8725,0.865,0.87
0.8675,0.9,0.8725,0.885
0.905,0.9175,0.9,0.9025
0.9,0.8975,0.8775,0.8925
0.905,0.895,0.905,0.9075
0.865,0.87,0.8725,0.8725
0.8975,0.8825,0.8725,0.895
0.8775,0.8875,0.8675,0.8825
0.855,0.8625,0.8675,0.875
0.89,0.9075,0.8825,0.91
0.9125,0.9075,0.9075,0.9125
0.8725,0.8875,0.875,0.8825
0.8725,0.8775,0.865,0.875
0.88,0.8975,0.885,0.8825
0.8975,0.905,0.89,0.8975
0.8975,0.905,0.885,0.905
0.8925,0.9025,0.89,0.895
0.8925,0.8875,0.8775,0.8925
0.875,0.8825,0.8725,0.88
0.8725,0.8775,0.86,0.8625
0.885,0.8825,0.875,0.885
0.895,0.89,0.8825,0.8875
0.875,0.8825,0.8775,0.885
0.8925,0.9075,0.8875,0.9025
0.8825,0.9075,0.8775,0.89
0.89,0.895,0.8875,0.89
0.8975,0.9125,0.895,0.905
0.8825,0.905,0.865,0.89
0.8925,0.8875,0.8875,0.895
0.9175,0.915,0.9125,0.92
0.88,0.8725,0.85,0.87
0.8825,0.905,0.8825,0.8925
0.8875,0.92,0.8975,0.9025
0.895,0.9025,0.8925,0.9
0.88,0.89,0.875,0.8825
0.8925,0.885,0.8825,0.89
0.8775,0.875,0.88,0.8825
0.86,0.875,0.8475,0.8775
0.85,0.86,0.8575,0.8575
0.8775,0.8975,0.8825,0.8875
0.89,0.8875,0.8725,0.885
0.8725,0.8875,0.8825,0.89
0.9,0.8925,0.8875,0.8975
0.8525,0.8575,0.8625,0.8625
0.87,0.875,0.8625,0.865
0.865,0.8725,0.865,0.8675
0.8925,0.9,0.8925,0.9
0.88,0.8975,0.895,0.8975
0.8775,0.905,0.8925,0.9
0.89,0.915,0.8875,0.905
0.855,0.865,0.855,0.8675
0.88,0.8925,0.8725,0.8875
0.88,0.895,0.8875,0.8925
0.87,0.86,0.85,0.8625
0.8325,0.85,0.85,0.855
0.875,0.8775,0.875,0.885
0.905,0.915,0.9,0.91
0.8725,0.88,0.875,0.8775
0.8825,0.89,0.88,0.895
0.9,0.8825,0.8925,0.9
0.895,0.9075,0.89,0.9075
0.8725,0.885,0.865,0.8775
0.895,0.9125,0.8975,0.9
0.9025,0.9075,0.885,0.9
0.885,0.8975,0.8825,0.8925
0.9125,0.9125,0.9075,0.9125
0.875,0.875,0.8575,0.8625
0.855,0.875,0.845,0.8625
0.895,0.9075,0.89,0.91
0.89,0.8975,0.89,0.895
0.905,0.9025,0.91,0.91
0.9025,0.915,0.9,0.915
